mandm24	airport philly sitting justice waiting marrkers talked flight buying	0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
rainbowbandit	hehe asleep rooms nice falling practice	0.167 0.167 0.167 0.167 0.167 0.167	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
andrejbr	acham tytn iphone pesquisa	0.250 0.250 0.250 0.250	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
daynedurry	schoollll work	0.500 0.500	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
jboudegu	pasa mucho mismo alguien rato gina hace onda santander	0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111 0.111	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
legrandbazart	blog chimera post music	0.250 0.250 0.250 0.250	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
marramskoorb	flapjack hour chowder episode hope half long	0.143 0.143 0.143 0.143 0.143 0.143 0.143	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
mrsminifig	haven watched sebduggan	0.333 0.333 0.333	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
tony_gai	applesorce	1.000	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000
burtonator	title post	0.500 0.500	0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.667 0.333 0.000 0.000
tacomacc	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
ncruralhealth	title post	0.500 0.500	0.000 0.000 0.000 0.500 0.500 0.000 0.000 0.000 0.000 1.000 0.000
tacomacc	title post	0.500 0.500	0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 1.000 0.000
ncruralhealth	title post	0.500 0.500	0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 1.000 0.000
tacomacc	title post	0.500 0.500	0.000 0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.750 0.250
koryelogan	title post	0.500 0.500	0.000 0.000 0.000 0.000 0.000 0.667 0.333 0.167 0.278 0.167 0.389
ncruralhealth	title post	0.500 0.500	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
tacomacc	title post	0.500 0.500	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
ncruralhealth	title post	0.500 0.500	1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
imdb	title post	0.500 0.500	0.400 0.600 0.000 0.000 0.000 0.000 0.000 0.600 0.000 0.000 0.400
ncruralhealth	title post	0.500 0.500	0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
tacomacc	title post	0.500 0.500	0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
imdb	title post	0.500 0.500	0.000 0.500 0.500 0.000 0.000 0.000 0.000 0.500 0.000 0.000 0.500
ncruralhealth	title post	0.500 0.500	0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
tacomacc	title post	0.500 0.500	0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
imdb	title post	0.500 0.500	0.000 0.000 0.500 0.500 0.000 0.000 0.000 0.500 0.000 0.000 0.500
koryelogan	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
tacomacc	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
stockguy22	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
ncruralhealth	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
stockguy22	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
ncruralhealth	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
stockguy22	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
ncruralhealth	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
stockguy22	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
ncruralhealth	title post	0.500 0.500	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
urbananew	coachella face blog live djam	0.200 0.200 0.200 0.200 0.200	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
pwincesslidz	mattie	1.000	0.000 0.000 0.000 1.000 0.000 0.000 0.000 0.000 0.000 1.000 0.000
